# 大学英语四级词库 · 来源 KyleBing/english-vocabulary（MIT）
# 格式：单词,释义
awake,adj. 醒着的 v. 唤醒
award,v. 授予；判给 n. 奖(金)
aware,adj. 知道的，意识到的
awareness,n. 意识
away,adv. 离开，远离；…去
awful,adj. 可怕的，骇人的
awfully,adv. 令人畏惧的；很
awkward,adj. 尴尬的；笨拙的
ax,n. 斧子
axis,n. 轴，轴线；中心线
baby,n. 婴儿；孩子气的人
back,adv. 回原处；回；在后
background,n. 背景
backslide,v. 倒退，退步
backward,adv. 向后
bacon,n. 咸肉
bacteria,n. 细菌
bad,adj. 坏的，恶的；严重的
badly,adv. 坏，差；严重地
badminton,n. 羽毛球
bag,n. 袋，包，钱包，背包
baggage,n. 行李
bake,v. 烤，烘，焙；烧硬
bakery,n. 面包店
balance,v. 使平衡 n. 天平
balcony,n. 阳台； 楼厅， 楼座
ball,n. 球；球状物；舞会
balloon,n. 气球，玩具气球
ban,v. 禁止
banana,n. 香蕉；芭蕉属植物
band,n. 乐队；带；波段
bang,n. 巨响，枪声；猛击
bank,n. 银行；库；沿，堤
bankrupt,adj. 破产的，倒闭的
banner,n. 横幅；旗，旗帜
bar,n. 酒吧间；条，杆；栅
barber,n. 理发师
bare,adj. 赤裸的；仅仅的
barely,adv. 仅仅，几乎不
bargain,n. 便宜货，减价品
bark,n. 吠叫声 v. 吠，叫
barn,n. 谷仓；牲口棚
barrel,n. 桶；圆筒；枪管
barrier,n. 障碍；栅栏；屏障
base,n. 基础，底层；基地
baseball,n. 棒球
basic,adj. 基本的，基础的
basically,adv. 基本上
basin,n. 洗脸盆；盆；盆地
basis,n. 基础，根据
basket,n. 篮，篓，筐
basketball,n. 篮球运动；篮球
bat,n. 球拍；蝙蝠
bath,n. 浴，洗澡；浴缸
bathe,v. 给…洗澡
bathroom,n. 浴室；盥洗室
battery,n. 电池；一套，一组
battle,n. 战争，战役
bay,n. 湾
be,v. 是；在
beach,n. 海滩，湖滩，河滩
beam,n. 梁；横梁；束，柱
bean,n. 豆，蚕豆
bear,n. 熊；粗鲁的人
beard,n. 胡须，络腮胡子
bearing,n. 举止， 风度； 方位， 方向感； 影响
beast,n. 兽，野兽
beat,v. 打，敲；打败
beautiful,adj. 美的，美丽的
beauty,n. 美，美丽；美人
because,conj. 由于，因为
become,v. 变得；变成；成为
bed,n. 床，床位；圃；河床
bee,n. 蜂，密蜂；忙碌的人
beef,n. 牛肉；菜牛
beer,n. 啤酒
before,prep. 在…以前
beg,v. 乞求；请求
beggar,n. 乞丐，穷人
begin,v. 开始
beginner,n. 初学者，生手
beginning,n. 开始，开端；起源
behalf,n. 代表某人
behave,v. 表现
behavior,n. 行为，举止，态度
behind,prep. 在…后面
being,n. 存在；生物；生命
belief,n. 信念；信任，相信
believe,v. 相信；认为
bell,n. 钟，铃，门铃；钟声
belong,v. 属于
beloved,adj. 为…所爱的 n. 爱人
below,prep. 在…下面（以下）
belt,n. 带，腰带；皮带；区
bench,n. 长凳，条凳
bend,v. 使弯曲；弯曲
beneath,prep. 在…下方
beneficial,adj. 有利的，有益的
benefit,v. 有益于，有助于
berry,n. 浆果（如草莓等）
beside,prep. 在…旁边
besides,adv,prep. 而且；除…之外
best,adj. 最好的；最大的
bet,v. 打赌 n. 打赌
betray,v. 背叛；辜负；泄漏
better,adj. 较好的 adv. 更好地
between,prep. 在…中间
beyond,prep. 在…的那边
bible,n. 基督教《圣经》
bicycle,n. 自行车，脚踏车
bid,n. 出价，投标 v. 出价，投标
big,adj. 大的，巨大的
bike,n. 自行车 v. 骑自行车
bill,n. 账单；票据；招贴
billion,num. 万亿（英）
bind,v. 捆绑；包扎；装订
biological,adj. 生物的
biology,n. 生物学
biotechnology,n. 生物工艺学
bird,n. 鸟，禽
birth,n. 分娩，出生；出身
birthday,n. 生日；诞生的日期
biscuit,n. （英）饼干；（美）软饼
bit,n. 一点，一些，小片
bite,v. 咬；咬，叮，螫；剌穿
bitter,adj. 痛苦的；严寒的
bitterly,adv. 苦苦地；悲痛地
black,adj. 黑色的；黑暗的
blackboard,n. 黑板
blade,n. 刀刃，刀片；叶片
blame,v. 指责，责怪
blank,adj. 空白的 n. 空白
blanket,n. 毛毯，毯子，羊毛毯
blast,n. 爆炸，冲击波 v. 炸
blaze,n. 火；闪光 v. 燃烧
bleed,v. 出血，流血
blend,v. 混和 n. 混和物
bless,v. 保佑，祝福
blind,adj. 瞎的；盲目的
block,v. 阻碍 n. 街区
blood,n. 血，血液；血统
bloody,adv. [用于加强语气]非常，很 adj. [用于加强语气]非常的；该死的；流血的；嗜杀的 vt. 血染
bloom,n. 花；开花，开花期
blossom,n. 花；开花 v. 开花
blow,v. 吹；吹动；吹响
blue,adj. 蓝色的 n. 蓝色
board,n. 板 v. 上（船、车等）
boast,v. 自夸，吹嘘
boat,n. 小船，艇
body,n. 身体；尸体；主体
bogus,adj. 假冒的
boil,v. 沸腾；汽化；煮沸
bold,adj. 大胆的；冒失的
bolt,n. 插销；螺栓 v. 闩门
bomb,n. 炸弹 v. 轰炸
bond,n. 债券，公债；联结，联系
bone,n. 骨，骨骼
book,n. 书，书籍 v. 预定
boom,vi. 激增， 繁荣， 迅速发展； 发出隆隆声 n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声
boost,n. 推动 v. 促使，促进
boot,n. 靴子，长统靴
booth,n. 公用电话亭；货摊
border,n. 边，边缘；边界
bore,v. 使厌烦；钻，挖
boring,adj. 令人厌烦的， 乏味的， 无聊的
born,adj. 天生的；出生的
borrow,v. 借，借用，借人
bosom,n. 胸，胸部；内心
boss,n. 老板，上司 v. 指挥
both,pron. 两者（都）
bother,v. 麻烦；打扰
bottle,n. 瓶，酒瓶；一瓶
bottom,n. 底，底部，根基
bough,n. 树枝
bounce,v. 反跳，弹起；跳起
bound,adj. 一定的；有义务的
boundary,n. 分界线，边界
bow,v. 鞠躬
bowl,n. 碗，钵；碗状物
box,n. 箱，盒；包厢
boy,n. 男孩，少年；家伙
bracket,n. 括号 vt. 把…归为同一类
brain,n. 脑，脑髓；脑力
brake,n. 闸，刹车 v. 制动
branch,n. 树枝；分部；分科
brand,n. 品牌；烙印 v. 铭刻
brandy,n. 白兰地酒
brass,n. 黄铜；黄铜器
brave,adj. 勇敢的；极好的
bread,n. 面包；食物，粮食
breadth,n. 宽度，幅度；幅面
break,v. 打破；损坏；破坏
breakdown,n. 垮， 衰竭； 损坏， 故障； 倒塌
breakfast,n. 早饭，早餐
breakthrough,n. 突破
breast,n. 乳房；胸脯，胸膛
breath,n. 气息，呼吸
breathe,v. 呼吸
breed,n. 品种 v. 使繁殖
breeze,n. 微风，和风
brick,n. 砖，砖块；砖状物
bride,n. 新娘
bridge,n. 桥，桥梁；桥牌
brief,adj. 短暂的；简短的
bright,adj. 明亮的；聪明的
brighten,v. 使发光；使快活
brilliant,adj. 光辉的；卓越的
brim,n. 边，边缘；帽沿
bring,v. 带来；引出；促使
brisk,adj. 活泼的；清新的
bristle,n. 短而硬的毛；鬃毛
britain,n. 不列颠，英国
british,adj. 不列颠的，英联邦的
brittle,adj. 脆的；易损坏的
broad,adj. 宽的
broadcast,n. 广播，播音
broken,adj. 被打碎的；骨折的
bronze,n. 青铜；青铜制品
brood,n. 同窝幼鸟 v. 孵（蛋）
brook,n. 小河，溪流
broom,n. 扫帚
brother,n. 兄弟；同事，同胞
brow,n. 额；眉，眉毛
brown,n. 褐色，棕色
bruise,n. 青肿，伤痕；擦伤
brush,n. 刷子，毛刷；画笔
brute,n. 禽兽，畜生
bubble,n. 泡 v. 冒泡，沸腾
bucket,n. 水桶；吊桶；铲斗
bud,n. 芽，萌芽；蓓蕾
budget,n. 预算 v. 编预算
build,v. 建筑；建立；创立
building,n. 建筑物，大楼；建筑
bulb,n. 电灯泡
bulk,n. 大部分；体积，块头
bull,n. 公牛；雄的象
bullet,n. 枪弹，子弹，弹丸
bump,vi. 碰，撞；颠簸着前进 n. 碰撞， 猛撞； 肿块； 隆起物
bunch,n. 束，串；一群
bundle,n. 捆，包，束；包袱
burden,n. 重担，负担
bureau,n. 局
burn,v. 烧，燃烧 n. 烧伤
burst,v. 使爆裂 n. 爆炸
bury,v. 埋葬，葬；埋藏
bus,n. 公共汽车
bush,n. 灌木，灌木丛，矮树
business,n. 商业，生意；事务；事务
busy,adj. 忙的；繁忙的
but,conj. 但是，可是
butcher,n. 屠夫；屠杀者
butter,n. 黄油；奶油
butterfly,n. 蝴蝶
button,n. 扣子；按钮 v. 扣紧
buy,v. 买，购买
by,prep. 在…旁；被，由
cabbage,n. 洋白菜，卷心菜
cabin,n. 小屋；船舱；机舱
cabinet,n. 内阁；橱，柜
cable,n. 缆，索；电缆；电报
cafe,n. 咖啡馆；小餐厅
cafeteria,n. 自助食堂
cage,n. 笼；鸟笼，囚笼
cake,n. 饼，糕，蛋糕
calculate,v. 计算
calculation,n. 计算，计算结果
calculator,n. 计算器，计算者
calendar,n. 日历，历书；历法
call,v. 把…叫做；叫，喊
calm,adj. 静的，平静的
camel,n. 骆驼
camera,n. 照相机，摄影机
camp,n. 野营，营地，兵营
campaign,n. 活动
campus,n. 校园，学校场地
can,n. 罐头，听头；容器
canada,n. 加拿大
canadian,adj. 加拿大的
canal,n. 运河；沟渠；管
cancel,v. 取消
cancer,n. 癌，癌症，肿瘤
candidate,n. 申请求职者；投考者；候选人
candle,n. 蜡烛
candy,n. 糖果
cannon,n. 大炮，火炮；榴弹炮
canoe,n. 独木舟，皮艇，划子
canteen,n. 食堂
canvas,n. 粗帆布；一块油画布
cap,n. 帽子，便帽；帽状物
capable,adj. 能干的，有能力的
capacity,n. 容量；能力
capital,n. 首都；资本，资金
captain,n. 陆军上尉；队长
captive,n. 俘虏，被监禁的人
capture,v. 捕获，俘获；夺得
car,n. 汽车，小汽车，轿车
carbon,n. 碳
card,n. 卡；卡片；名片
care,v. 介意；关心 n. 小心
career,n. 生涯，职业；经历
careful,adj. 仔细的；细致的
caregiver,n. 照料者
careless,adj. 粗心的
cargo,n. 船货，货物
carpenter,n. 木匠
carpet,n. 地毯，毡毯，毛毯
carriage,n. 四轮马车；客车厢
carrier,n. 运输工具；运载工具
carrot,n. 胡萝卜
carry,v. 携带；运载；传送
cart,n. 二轮运货马车
cartoon,n. 卡通画， 幽默画； 动画片， 卡通片
carve,v. 刻，雕刻；切开
case,n. 情况；病例；事实
cash,n. 现金，现款
cashier,n. 出纳
cassette,n. 盒式录音带
cast,v. 投，扔，抛；浇铸
castle,n. 城堡；巨大建筑物
casual,adj. 漫不经心的，随便的；偶然的
cat,n. 猫，；猫科动物
catalog,n. 目录，目录册
catalogue,v. 把……编入目录
catch,v. 捉住；赶上；领会
category,n. 种类， 类， 类别
cater,v. 迎合
cathedral,n. 总教堂；大教堂
cattle,n. 牛；牲口，家畜
cause,n. 原因；理由；事业
caution,n. 小心，谨慎 v. 警告，告诫
cautious,adj. 谨慎的
cave,n. 山洞，洞穴，窑洞
